,Name,Price,Price per Liter
357,"Lausitzer Porter 20x0,5l",12.49,1.25
358,"Reissdorf Kölsch 0,5l",0.99,1.98
359,Früh Kölsch Fass 5l,12.99,2.6
360,"Paulaner Weißbier Zitrone naturtrüb 6x0,33l",4.79,2.42
361,Reissdorf Kölsch Fass 5l,12.99,2.6
362,"Carlsberg Elephant Beer 0,5l",0.99,1.98
363,"Mixery Bier+Cola+X 0,5l",0.95,1.9
364,"Mühlen Kölsch 6x0,33l",4.99,2.52
365,"Krombacher Radler 6x0,33l",4.29,2.17
366,"Mixery Bier+Cola+X 20x0,5l",15.49,1.55
367,"Mixery Bier+Cherry+X 6x0,33l",4.29,2.17
368,"5,0 Original Citrus-Bier 0,5l",0.65,1.3
369,"Desperados Original 4x0,33l",5.99,4.54
370,"Carlsberg Elephant Beer 6x0,33l",4.79,2.42
371,"Mixery Bier+Cola+X 6x0,33l",4.29,2.17
372,"Maisel & Friends Marc's Chocolate Bock 0,75l",3.99,5.32
373,"Gösser Naturradler 20x0,5l",15.99,1.6
374,"Gösser Natur Radler 0,5l",0.99,1.98
375,"Schwarzbräu Aged Bock 0,33l",2.79,8.45
376,"Schöfferhofer Grapefruit 0,5l",0.89,1.78
377,"Veltins V+ Energy 6x0,33l",4.29,2.17
378,"Schöfferhofer Grapefruit 6x0,33l",3.79,1.91
379,"Warsteiner Radler Zitrone 6x0,33l",3.79,1.91
380,"Beck's Green Lemon 6x0,33l",4.29,2.17
381,"Astra Kiezmische 6x0,33l",3.99,2.02
382,"2,5 Original Lemon 0,5l",0.49,0.98
383,"Mönchshof Natur Radler 20x0,5l",14.99,1.5
384,"Beck's Red Holunder 6x0,33l",4.29,2.17
385,"Veltins V+ Curuba 0,5l",0.79,1.58
386,"Früh Kölsch Radler 6x0,33l",4.29,2.17
387,"Mixery Nastrov Flavour Iced Blue 0,5l",0.95,1.9
388,"Beck's Ice Lime & Mint 6x0,33l",4.29,2.17
389,"Salitos Tequila 0,5l",1.49,2.98
390,"Berliner Kindl Weisse Himbeere 6x0,33l",4.49,2.27
391,"Berliner Kindl Weisse Waldmeister 6x0,33l",4.49,2.27
392,"Beck's Green Lemon 24x0,33l",10.99,1.39
393,"Astra Rakete 6x0,33l",4.99,2.52
394,"Original Oettinger Weizen & Grapefruit 24x0,33l",10.99,1.39
395,"Bitburger Radler 6x0,33l",4.29,2.17
396,"Veltins V+ Curuba 6x0,33l",4.29,2.17
397,"Lübzer Grapefruit 0,5l",0.79,1.58
398,"Bitburger Radler 0,5l",0.85,1.7
399,"Veltins V+ Berry-X 6x0,33l",4.29,2.17
400,"Astra Kiezmische 0,33l",0.59,1.79
401,"Krombacher Radler naturtrüb 6x0,33l",4.29,2.17
402,"Krombacher Radler 24x0,33l",14.49,1.83
403,"Schimpfle Löschzwerg Cola-Weizen 0,33l",0.85,2.58
404,"Lübzer Grapefruit 6x0,33l",4.29,2.17
405,"Veltins V+ Lemon 6x0,33l",4.29,2.17
406,"Schöfferhofer Zitrone 6x0,33l",3.79,1.91
407,"Krombacher Radler 0,5l",0.79,1.58
408,"Bitburger Radler 20x0,33l",11.99,1.82
409,"Salitos Tequila 4x0,33l",4.99,3.78
410,"Krombacher Radler 11x0,5l",8.99,1.63
411,"Lübzer Grapefruit 20x0,5l",10.49,1.05
412,"Astra Rakete Dose 0,33l",0.89,2.7
413,"Mixery Flavour Iced Blue 6x0,33l",4.29,2.17
414,"Beck's Green Lemon 0,5l",0.89,1.78
415,"Flensburger Radler 20x0,33l",13.49,2.04
416,"Eichbaum Naturradler 0,33l",0.69,2.09
417,"Schöfferhofer Kaktusfeige 6x0,33l",3.79,1.91
418,"Mixery Ultimate Energy 6x0,33l",4.99,2.52
419,"Eichbaum Kurpfälzer NaturRadler 6x0,33l",3.99,2.02
420,"Welde Remix Natur Radler 6x0,33l",4.99,2.52
421,"Beck's Lime 6x0,33l",4.29,2.17
422,"Schöfferhofer Granatapfel + Guarana 6x0,33l",3.79,1.91
423,"Salitos Ice 4x0,33l",4.99,3.78
424,"Grevensteiner Ur-Radler 6x0,33l",4.99,2.52
425,"Störtebeker Arktik-Ale 0,33l",2.99,9.06
426,"Veltins V+ Grapefruit 6x0,33l",4.29,2.17
427,"Störtebeker Atlantik-Ale 0,5l",1.09,2.18
428,"Original Oettinger Radler 20x0,5l",7.79,0.78
429,"Veltins V+ Energy 0,5l",0.79,1.58
430,"Rothaus Zäpfle Radler 6x0,33l",5.29,2.67
431,"Beck's Red Ale 4x0,33l",4.29,3.25
432,"Mönchshof Natur-Radler 4x0,5l",3.49,1.75
433,"Ratsherrn Coast Guard Westküsten IPA 0,33l",1.99,6.03
434,"La Chouffe Golden Ale 0,33l",1.79,5.42
435,"Riegele Ator 20 0,33l",2.99,9.06
436,"Veltins Radler 6x0,33l",4.29,2.17
437,"Maisel & Friends Jeff's Bavarian Ale 0,75l",3.99,5.32
438,"Ratsherrn Pale Ale 0,33l",1.65,5.0
439,"Beck's Pale Ale 4x0,33l",4.29,3.25
440,"Störtebeker Atlantik Ale 20x0,5l",18.99,1.9
441,"Warsteiner Lemon Premium Mix 6x0,33l",3.99,2.02
442,"Störtebeker Scotch-Ale 0,5l",1.99,3.98
443,"Rügener Inselbrauerei Baltic Ale 0,33l",2.99,9.06
444,"Hopfenstopfer Incredible Pale Ale 0,33l",1.49,4.52
445,"Maisel & Friends Pale Ale 6x0,33l",5.99,3.03
446,"Leffe Blonde 0,33l",1.49,4.52
447,"Rügener Inselbrauerei Baltic Dubbel 0,33l",2.99,9.06
448,"Maisel & Friends Pale Ale 0,33l",1.49,4.52
449,"Guinness Extra Stout 6x0,33l",5.49,2.77
450,"Brooklyn East IPA 0,33l",1.99,6.03
451,"McGargles Francis' Big Banging IPA 0,33l",1.99,6.03
452,"Hopfenstopfer Citra Ale 0,33l",1.49,4.52
453,"Kilkenny Ale 6x0,33l",5.49,2.77
454,"Maisel & Friends Stefan's Indian Ale 0,75l",3.99,5.32
455,"Brlo Craft Beer German IPA 0,33l",1.99,6.03
